q_id,question,reference_answer,target_file,target_page,evidence_text
1,インフロニア・ホールディングスのFY25通期計画において、事業利益はいくらに修正されましたか？,FY25通期計画において、事業利益は773億円に修正されました。,02_01_インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,3,"●FY25通期計画を売上高1兆1,300億円、事業利益773億円、EBITDA1,203億円、当期利益600億円に修正。"
2,インフロニア・ホールディングスの土木セグメントにおけるFY25 3Qの実績と通期計画の見込みについて教えてください。,前田建設の土木セグメントのFY25 3Q実績は、前年同期比で増収増益でした。重点現場の工事進捗管理と設計変更の獲得額向上により、通期計画達成を見込んでいます。三井住友建設の土木セグメントのFY25 3Q実績は、前年同期比で減収でしたが利益は同水準でした。通期業績は、手持工事の工事進捗管理、設計変更の獲得、新規案件の早期着手により計画達成を見込んでいます。,02_01_インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,5,土木・前田建設の3Q実績は、前年同期比で増収増益。重点現場の工事進捗管理及び設計変更の獲得額向上により、通期計画達成を見込む・三井住友建設の3Q実績は、前年同期比で減収も利益は同水準。通期業績は、手持工事の工事進捗管理、設計変更の獲得並びに新規案件の早期着手により、計画達成を見込む
3,2026年2月9日時点でのインフロニア・ホールディングスの株価はいくらで、期首時点から何倍に向上しましたか？,"2026年2月9日時点での株価は2,654.5円で、HD設立以来の最高値を更新し、期首時点株価から約2.2倍に向上しました。",02_01_インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,9,"● 2026年2月9日にHD設立以来の株価最高値を更新、株価は期首時点株価から約2.2倍に向上最高値2,654.5円(2026年2月9日)"
4,インフロニア・ホールディングスのFY25当期年間配当金はいくらに修正されましたか？また、中間配当と期末配当の内訳も教えてください。,FY25当期年間配当金は92円に修正されました。内訳は中間配当30円、期末配当62円です。,02_01_インフロニアＨＤ_2026年3月期第３四半期アナリスト向け決算説明会資料　プレゼンテーション資料 .pdf,10,当期年間配当金は92円(中間配当30円、期末配当62円)とする計画に修正
5,2026年3月期 第3四半期決算プレゼンテーションの開催日はいつですか？,2026年2月13日です。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,1,2026年3月期 第3四半期決算プレゼンテーション2026/2/13
6,Rovioにおけるのれん減損額は約いくらですか？,約313億円です。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,3,Rovio:約313億円
7,セガサミーはキャピタルアロケーション方針の見直しの一環として、自己株式取得をいくら実施しましたか？,200億円の自己株式取得を実施しました。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,3,200億円の自己株式取得を実施
8,Rovioの減損損失額算出の前提として、どのような売上計画の減額が行われましたか？,直近の売上計画に対する未達率を元に、今後の既存・新規ゲームタイトルから得られる売上計画を減額しました。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,4,直近の売上計画に対する未達率を元に、今後の既存・新規ゲームタイトルから得られる売上計画を減額
9,2026年3月期Q3累計の連結売上高はいくらですか？,"3,352億円です。",02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,5,"売上高3,2234,2893,3524,7504,900"
10,2026年3月期通期計画の経常利益は、2月13日修正時点でいくらですか？,435億円です。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,6,2/13修正通期計画435
11,2026年3月期Q3累計におけるゲーミング事業の営業利益はいくらですか？,-48億円です。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,7,ゲーミング-11-7-48-15-85
12,2026年3月期Q3実績において、エンタテインメントコンテンツ事業の売上高に対する為替変動の押し上げ影響額はいくらですか？,21.2億円です。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,9,コンシューマ売上高-2.93.221.2
13,2025年3月期末から当第3四半期末にかけて、現金・預金はどのように変動しましたか？,"2,003億円から1,429億円に減少し、574億円の減少となりました。",02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,11,"現金・預金2,0031,429-574"
14,Stakelogicののれんの残償却期間はどのくらいですか？,8年6か月です。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,12,Stakelogicのれん180億円(104百万ユーロ)8年6か月
15,2026年3月期Q3累計のエンタテインメントコンテンツ事業におけるフルゲーム販売本数（新作）はいくらですか？,417万本です。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,15,新作479657417607629
16,2026年2月12日に発売予定のコンシューマ向けフルゲームタイトルは何ですか？,龍が如く極3 / 龍が如く3外伝 Dark Tiesです。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,18,龍が如く極3 / 龍が如く3外伝 Dark Ties(2026/2/12)
17,2026年3月期Q3累計におけるパチスロの販売台数は何台ですか？,"51,165台です。",02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,22,"販売台数(台)73,43786,64151,165144,000136,000"
18,2026年3月期Q3実績において、ゲーミング機器販売で中心的に販売されたシリーズは何ですか？,ビデオスロットRailroad RICHES™及びSuper Burst™シリーズです。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,26,ゲーミング機器販売:ビデオスロットRailroad RICHES™™及びSuper Burst™シリーズを中心に販売(北米)
19,Rovioのマネジメント体制強化の一環として、誰がCOOに就任しましたか？,Kingでライブゲームスタジオのトップ等を歴任したDaniel SvärdがRovioのCOOに就任しました。,02_02_セガサミーＨＤ_2026年3月期 第3四半期決算プレゼンテーション .pdf,34,Kingでライブゲームスタジオのトップ等を歴任したDaniel SvärdがRovioのCOOに就任
20,2026年3月期第3四半期決算の発表日はいつですか？,2026年2月6日です。,02_03_トヨタ自_2026年3月期第３四半期決算報告プレゼンテーション資料 .pdf,1,2026年2月6日
