q_id,question,reference_answer,target_file,target_page,evidence_text
1,本研究会の成果物の名称について、資料で記載されている「準則」という言葉は、法学ではどのような意味合いで用いられることが多いですか？,適用されるべき規範や基準等の意味合いで用いられることが多いです。,03_01_議事要旨（PDF形式：375KB）.pdf,1,本研究会の成果物の名称について、資料で記載されている「準則」という言葉は、法学では、適用されるべき規範や基準等の意味合いで用いられることが多い。
2,本研究会が検討対象とする事例として、資料中に示されている2つの類型は何ですか？,①人の行為や判断に補助的にAIを活用する場合と、②AIが最終的な判断まで下す場合です。,03_01_議事要旨（PDF形式：375KB）.pdf,1,資料中に①(人の行為や判断に補助的に AI を活用する場合)と②(AI が最終的な判断まで下す場合)の2つの事例が示されているが
3,第4回AI利活用における民事責任の在り方に関する研究会はいつ開催されましたか？,令和8年1月14日(水)の15:00から17:00に開催されました。,03_02_議事要旨（PDF形式：406KB）.pdf,1,<日時> 令和8年1月14日(水)15:00~17:00
4,AI利用者がAIの検出漏れを発見できなかった場合、直ちに過失を問うことは望ましくないと考えられるのは、どのような知見に基づいていますか？,人間が高度なAIと協調的に作業を行うと、人間の注意水準が低下するという認知科学的な知見に基づいています。,03_03_議事要旨（PDF形式：427KB）.pdf,1,人間が高度なAIと協調的に作業を行うと、人間の注意水準は低下するという認知科学的な知見を踏まえると、一定水準以上の精度を持つ AI の利用時に、利用者が AI の検出漏れを発見できなかったことをもって、直ちに利用者の過失を問うことは望ましくない。
5,AIを利用する作業において、注意義務の対象はどのように変化すると考えられていますか？,人間の作業からAIの適切な作動を確保することへと変化すると考えられています。,03_03_議事要旨（PDF形式：427KB）.pdf,1,ある作業においてAI を利用する場合、注意義務の対象は、参考裁判例③にも見られるように、人間の作業から AI の適切な作動を確保することへと変化する。
6,第3回AI利活用における民事責任の在り方に関する研究会の開催日時を教えてください。,令和7年12月3日(水)15:00~17:00です。,03_04_議事要旨（PDF形式：427KB）2.pdf,1,<日時> 令和7年12月3日(水)15:00~17:00
7,事務局資料において、AIの判断内容がブラックボックスであることを理由に利用者が過失責任を免れるという趣旨に対し、どのような評価が考えられますか。,ブラックボックスな判定結果をそのまま利用するのであれば、その内部で起こっていることも含めて責任を引き受けるべきという評価も考えられます。,03_04_議事要旨（PDF形式：427KB）2.pdf,2,ブラックボックスな判定結果をそのまま利用するのであれば、その内部で起こっていることも含めて責任を引き受けるべきという評価も考えられる。
8,第1回AI利活用における民事責任の在り方に関する研究会はいつ開催されますか？,令和7年8月19日(火)の10:00から12:00に開催されます。,03_05_資料1　議事次第・配布資料一覧.pdf,1,令和7年8月19日(火)10:00 ~ 12:00
9,第3回AI利活用における民事責任の在り方に関する研究会はいつ開催されますか？,令和7年12月3日(水)に開催されます。,03_06_資料1　議事次第・配布資料一覧（PDF形式：58KB）.pdf,1,令和7年12月3日(水)
10,第4回AI利活用における民事責任の在り方に関する研究会はいつ開催されますか？,令和8年1月14日(水)に開催されます。,03_07_資料1　議事次第・配布資料一覧（PDF形式：61KB）.pdf,1,令和8年1月14日(水)
11,第2回AI利活用における民事責任の在り方に関する研究会はいつ開催されますか？,令和7年10月1日(水)の10:00から12:00まで開催されます。,03_08_資料1　議事次第・配布資料一覧（PDF形式：67KB）.pdf,1,令和7年10月1日(水)10:00 ~ 12:00
12,第1回AI利活用における民事責任の在り方に関する研究会はいつ開催されますか？,令和7年8月19日(火)に開催されます。,03_09_資料1　議事次第・配布資料一覧（PDF形式：69KB）.pdf,1,令和7年8月19日(火)
13,AI利活用における民事責任の在り方に関する研究会の検討事項は何ですか？,AI利活用に伴う事故発生時の民事責任における論点や考え方の整理と、政府が公表している「AI事業者ガイドライン」と民事責任との関係性です。,03_10_資料2　AI利活用における民事責任の在り方に関する研究会の開催 について（PDF形式：112KB）.pdf,1,会議の検討事項は以下の通りとする。・AI利活用に伴う事故発生時の民事責任における論点や考え方の整理・政府が公表している「AI事業者ガイドライン」と民事責任との関係性
14,AI利活用における民事責任の在り方に関する研究会の座長は誰ですか？,大塚直です。,03_11_資料2　構成員等名簿（PDF形式：87KB）.pdf,1,座長 大塚直 早稲田大学法学学術院教授
15,AI利活用における民事責任の在り方に関する研究会の座長は誰ですか？,大塚直です。,03_12_資料2　構成員等名簿（PDF形式：87KB）2.pdf,1,座長 大塚直 早稲田大学法学学術院教授
